VocabularyId;Ordinal;Description
33;1;عبارت as well as به معنی "درکنارِ ..." بوده و پس از آن فقط می توانید یک اسم بیاورید. یادتان باشد از آن به معنی همچنین استفاده نکنید. زیرا دیده شده است که بعضی زبان آموزان پس از آن جمله کامل استفاده می کنند.
35;1;از fail to می توانید به جای cannot و از failed to به جای could not در نوشته های خود استفاده کنید.
36;1;از کلمه youth در نوشته های رسمی به معنی "دوره جوانی" استفاده کنید. توجه داشته باشید که از این کلمه نمی توانید به جای young people استفاده کنید. تنها در ترکیب the youth of می توانید از این کلمه به معنی جوانان استفاده کنید. مثلا:|The youth of today are the pensioners of tomorrow
39;1;ترکیب crave for یعنی اشتیاق زیادی برای چیزی داشتن.
40;1; به جای will در نوشته های خود از to be (more) likely to یا would استفاده کنید.
40;2;عبارت irrespective of  یعنی بدون درنظر گرفتنِ …
41;1;وقتی می خواهیم بگوییم "به اندازه..." باید از حرف اضافه by استفاده کنیم. مثلاً وقتی می‌گوییم increased by 20% یعنی به اندازه 20 درصد افزایش یافت.
43;1; وقتی می گوییم یک چیز a way of life شده است، یعنی آنقدر اهمیت پیدا کرده که بر زندگی مان تاثیرگذار است.
43;2;از این ترکیب gone is/are + noun یا gone are the days when در نوشته های خود به آسانی میتوانید استفاده کنید. مثلاً می گوییم:|Gone are the days when girls used to cook like their mothers.|یعنی اونروزها که دخترها مثل مادرنشان آشپزی می کردند رفته است (فراموش شده است). |
44;1;| ترکیب reason behind یعنی دلایلی که در چیزی دخیل هستند. مثلاً: | He explained the reasons behind the decision.|
44;2; دو کلمه Motive و Motivation را اشتباه استفاده نکنید. اولی به معنی دلیل یا انگیزه انجام کاری است ولی دومی یعنی اشتیاق و انگیزه برای کاری.
44;3;اصطلاح Make the best of یعنی چیز بدی را به ناچار پذیرفتن و سعی در استفاده کردن از آن.
46;1;عبارت In the face of something یعنی با وجود.... (یک مشکل یا شرایط سخت)
46;2; در نوشته ها به جای کلمه "شخص" و "فرد" می توانید از One استفاده کنید.
46;3;عبارت labour market یعنی "بازار کار".
47;1; عبارت stable/steady job و vulnerable job متضاد هم هستند. اولی یعنی شغلی پایدار و دومی یعنی شغل موقت و ناپایدار.
47;2;به کاربرد Once در این جمله دقت کنید. همانطوریکه می بینید بعد از آن می توانید یک ترکیب صفت + اسم و بلافاصله یک فعل حال بکار ببرید و از آن برای مقایسه گذشته با حال استفاده نمایید. برای مثال Once poor people are rich now. مردمانی که زمانی فقیر بودند حالا ثروتمند شده‌اند.
48;1;توجه داشته باشید که برای "روبرو شدن" می توانید از دو ترکیب زیر استفاده کنید:|To face something|To be faced with something|بنابراین مطمئن شوید که face به تنهایی یعنی "روبرو شدن با" و درحالت عادی نیاز به حرف اضافه ندارد. مثلاً جمله بالا می توانست به این صورت بازنویسی شود: would face threats posed by others|
48;2;اگر بعد از ضمیر ربطی مجهول بود، می توانید ضمیر ربطی و فعل to be را با هم حذف کنید. به این عمل reduction of relative pronouns گفته می شود. به عنوان مثال اصل جمله بالا به این صورت بوده است:|Threats which are posed by others |
49;1;از ترکیب by comparison در ابتدای جملات خود می توانید به معنی "در مقابل،" استفاده کنید.
49;2;اصطلاح Drive someone to do something یعنی "کسی را به سمت انجام کاری سوق دادن"
49;3; از thereby می توانید به معنی "از اینرو" در وسط جملات خود استفاده کنید. همانطوریکه می بینید پس از آن از یک فعل ing استفاده می شود. توجه داشته باشید که فاعل فعل دوم و جمله اول باید یکی باشد:|He became a citizen in 1978, thereby gaining the right to vote.|او در سال 1978 یک شهروند شد و از اینرو اجازه رای دادن را گرفت.
50;1;به تفاوت این کلمات توجه کنید: | اقتصادی – Economic - مثلا The country’s economic growth | مقرون به صرفه - Economical – مثال : Which is more economical? Gas or electricity? | علم اقتصاد – Economics | وضع اقتصادی – Economy-  مثلا The government management of economy
50;2;واژه Invaluable یعنی "بسیار مفید". مثلاً your advice was invaluable for me
51;1;توجه داشته باشید که retirement age یک ترکیب معروف است و نمی توانید از ترکیب های دیگری مثل retired age یا ... استفاده کنید.
51;2; از لغت instill می توانید به جای teach استفاده کنید خصوصاً وقتی منظور آموزش برای نحوه رفتار یا فکر کردن باشد.
51;3;همانطوریکه می بینید فعل develop (یاد گرفتن) و instill (یاد دادن) برای work ethic استفاده می شود.
52;1;میتوانید از entail به جای need به معنی "لازم داشتن" استفاده کنید. | You entail some foreign travel in this job.
55;1; هرچند در این عبارت، دو کلمه rise و raise به یک معنی استفاده می شوند، اما به تفاوت دو فعل raise (بالا بردن) و rise (بالا رفتن) توجه کنید. مثلاً نمی گوییم: rising the price of petrol چون rise فاعل نمی پذیرد. به جای آن باید بگوییم: raising the price of petrol. البته rise یک اسم هم دارد که می توانید از آن در جایگاه یک اسم استفاده کنید. مثلاً A rise in price of petrol.
56;1;عبارت For the sake of something/someone یعنی "به خاطر... "
56;2;همانطوریکه قبلاً نیز گفته شد هرگاه بعد از حروف ربطی مستقیم فعل داشته باشیم، درحالت معلوم، می توانیم حرف ربطی را حذف کنیم و فعل را به صورت ing بنویسیم. مثلاً در جمله اول: legislation which limit بوده است که پس از حذف به صورت legislation limiting در آمده است.
56;3; در صورتیکه بعد از حروف ربطی یک فعل مجهول داشتیم هم می توانیم حرف ربط و فعل to be را با هم حذف کنیم تا فقط قسمت سوم فعل (p.p)  باقی بماند. مثلاً در جمله اول hours which have been worked بوده که به hours worked تبدیل شده. به مثال زیر نیز توجه کنید:|The book which was stolen is mine. The book stolen is mine.
56;4; لغت legislation را می توانید به جای law استفاده نمایید. بهترین افعال برای آن نیز عبارتند از: |Enforce/Enact/Introduce legislation (قانون را اجرا کردن)|
57;1; کلمه worker نیز به معنی کارمند می باشد اما معمولاً به کارهای سطح پایین تر اطلاق می شود. به جای کلمه labour همانطوریکه در دروس قبل نیز اشاره شد می توانید از staff نیز استفاده کنید.
57;2; کلمه labour به معنی کار فیزیکی نیز می باشد. مثلا:|Many women do hard manual labour.|اما توجه داشته باشید که در هردو معنی، labour غیرقابل شمارش بوده و s نمی گیرد. |
58;1;برای بالا بردن راندمان از افعال increase/improve/raise می توانید استفاده کنید.
59;1;گاهی بعضی از زبان آموزان کلمه stressful را به اشتباه بکار می برند. مثلاً می گویند:|Today I am stressful because of my current job. |توجه داشته باشید که stressful به معنی "استرس زا" است. به جای این جمله می توانید از ترکیب زیر استفاده کنید:|Today I am under stress because of my current job. |
60;1;ترکیب stem from یعنی "نتیجه شدن از". همانطوریکه می بینید می توانید از ترکیب stem partly from را به معنی "در قسمتی نتیجه شدن از" بکار ببرید
60;2;برای کلمه deadline  صفت tight یک collocation است.
62;1;برای deadline می توان از ترکیب های زیر استفاده کرد: | فرجه زمانی برای : deadline for | The deadline for applications is May 27th. | فرجه زمانی ...  : deadline of | It has to be in before the deadline of July 1th. | رسیدن یا از دست دادن یک فرجه زمانی : Meet/miss a deadline | working under pressure to meet a deadline | تعیین یک فرجه زمانی  : set/impose a deadline | They've set a deadline of Nov 5th. | فرجه زمانی بسیار سخت و فشرده: Tight/strict deadline
65;1;در نوشته های خود به جای To (به معنی "تا...") از so as to استفاده کنید. مثلاً:|I drove at a steady 50 mph so as to save fuel.|
66;1; توجه داشته باشید که کلمه workplace همیشه سرهم است.
67;1; از blanket به صورت صفت و به معنی "جامع" می توانید برای اسامی مثل solution یا rule استفاده کنید.
68;1; با اضافه کردن یک the به برخی صفات مانند young، old، elderly، blind، poor، rich و unskilled می توانید اسامی جمع بسازید. مثلاً the elderly یعنی سالمندان و یا the poor یعنی فقرا.
69;1; از عبارت bring about میتوانید به معنی "باعث شدن" استفاده کنید. |A huge amount of environmental damage has been brought about by the destruction of the rainforests.|مقدار خسارت محیط زیستی بسیارزیادی به خاطر تخریب جنگل های بارانی ایجاد شده است. |
70;1;لغت shadow به معنی "مثل سایه دنبال کسی بودن" و یا "زیر نظر گرفتن کارهای کسی" است.
70;2;از ترکیب with the aim of یعنی "به هدف..."
72;1; به جای have برای "داشتن یک چیز خوب" یا "برخوردار بودن" از enjoy استفاده کنید.
72;2; به جای understand یا think می توانید همیشه از فعل perceive استفاده کنید (به املای آن خوب توجه کنید!)
73;1;واژه media را هیچگاه بدون the بکار نبرید.
73;2; با media همیشه از فعل جمع استفاده کنید.
73;3;چون media خودش جمع medium است، در حالت مفرد از medium استفاده کنید.
73;4;وقتی می گوییم چیزی at stake است یعنی "درمعرض خطر" است.
73;5;عبارت the mass media یعنی "رسانه های گروهی"
74;1;به جای Obsolete می توانید از out-of-date هم استفاده کنید.
74;2; وقتی می گوییم something1 render something2 obsolete یعنی "چیز1 باعث از مد افتادن چیز2 میشود".
74;3;برای از مد افتادن باید از become obsolete استفاده کنید.
74;4;لغت Obsolete را فقط برای اشیاء و تکنولوژی ها بکار ببرید.
74;5;برای وسایل تکنولوژیکی از device استفاده کنید. Tool یعنی ابزارهای ساده.
75;1;کلمه Means در حالت مفرد و جمع همیشه s دارد و می توانید با فعل یا article استفاده شده نشان دهید که منظورتان جمع است یا مفرد.
75;2;این کلمه به صورت means of something یا means of doing something بکار می رود.
75;3;اصطلاح by means of یعنی "به وسیله ..."
75;4;عبارت take (full) advantage of something یعنی "از چیزی بهره بردن"
76;1;کلمه access هم اسم است و هم فعل. در حالت اسم می توانید از حرف اضافه to استفاده کنید اما در حالت فعل از حرف اضافه استفاده نکنید. مثلاً:|You can access the latest information. |You can have access to the latest information. |
77;1;می توانید برای advantage همیشه از صفت overt استفاده کنید. Overt advantage یعنی "مزیت آشکار"
79;1;عبارت convey را می توانید به جای transfer هم به معنی "انتقال دادن" استفاده کنید.
80;1;ترکیب high-tech را می توانید برای مبلمان و طرح ها نیز به معنی "مدرن" استفاده کنید.
81;1;صفت prevalent را به معنی "شایع و متداول" می توانید به جای common هم بکار ببرید.
82;1;کلمه censor هم به صورت فعل به معنی "سانسور کردن" و هم به صورت اسم به معنی "مسئول سانسور" استفاده می شود. برای کلمه "سانسور" به صورت اسم هم می توانید از censorship استفاده کنید.
82;2;فعل Curb به معنی محدود کردن به جای limit استفاده میشود.
83;1;گاهی دیده می شود زبان آموزان از کلمه Pattern و Symbol به جای "(شخص) الگو" استفاده می کنند که اشتباه بوده و ترجمه مستقیم از فارسی است. به جای آن باید از کلمه role model استفاده کنید.
83;2;کلمه Audience هم به صورت Audience و هم Audiences استفاده می شود اما در هر حال باید با آن فعل جمع استفاده شود.
83;3;وقتی می گوییم something appeal to someone یعنی "کسی از چیزی خوشش می آید". این کلمه به جای like کاربرد خوبی دارد اما به طرز به کار بردن آن خوب توجه کنید.
84;1;کلمه broadcast می تواند به صورت اسم و به معنی "برنامه رادیو و تلویزیونی" هم استفاده شود. همچنین این کلمه به معنی "خبری را پخش کردن " هم به کار می رود. |Don't broadcast the fact that he lost his job.|
84;2;ترکیب to be inclined to یعنی تمایل داشتن.
85;1;صفات ترکیبی از ترکیب یک عدد، یک – و یک اسم مفرد ساخته می شود و همیشه بعد از آن یک اسم می آید. |A 20-minute walk|A four-star hotel|Five-year-old child. |
86;1;در نوشته های خود به جای will و would می توانید از to be bound to استفاده کنید. این ترکیب برای Writing بسیار مناسب است زیرا کمی ایده ها را غیرقطعی تر می کند.
88;1;ترکیب whether or not در وسط جمله یعنی "آیا" . مثلاً: |There were times when I wondered whether or not we would get there.|
89;1;برای تمام رسانه ها از حرف اضافه on استفاده می شود. به عنوان مثال:|On television/ On satellite/ On the radio/ On the Internet…|
89;1;از potentially می توانید قبل از صفات خود استفاده کنید. این صفت یعنی در حال حاضر اینطوری نیست ولی کم کم می شود. مثلاً وقتی می گوییم چیزی Potentially dangerous است یعنی در حال حاضر خطرناک نیست اما می تواند خطر داشته باشد.
91;1;گاهی دیده می شود برخی زبان آموزان از admit به جای accept استفاده می کنند. در معنی admit "پذیرفتن با وجود عدم تمایل" دیده می شود که در مورد accept اینطور نیست.
92;1;کلمه specially یعنی "برای هدف خاصی ساخته شده یا انجام شده" و ,especially (با کاما) یعنی "خصوصاً"  (معمولاً ما در نوشته های خود از دومی استفاده می کنیم). به دو مثال زیر توجه کنید:|The stamps were specially designed to commemorate the fiftieth anniversary of the United Nations.|Paris is always full of tourists, especially during the summer months.|
95;1;in a sense یعنی "به نوعی"
95;2;برای "کم کردن اثرات بد چیزی" می توانید از Mitigate یا Alleviate استفاده کنید. مثال:|Measures need to be taken to mitigate the environmental effects of burning more coal.|We have to figure out a way to mitigate the costs.|A new medicine to alleviate the symptoms of flu|Measures to alleviate poverty|
97;1;به املای این کلمه خوب دقت کنید. کلمه دیگری هم به صورت dependant داریم که به معنی "وابسته مالی" است.
98;1;اصطلاح second-hand experience یعنی "تجربیات دیگران". مثلاً می گوییم دیدن برنامه های ورزشی یک second-hand experience است زیرا دیگران ورزش می کنند و ما به صورت منفعل از آن استفاده می کنیم.
100;1;کلمه Communication غیرقابل شمارش است. مگر وقتی انواع روش های ارتباطی برایمان مهم باشد. مثلا:|Modern communications are enabling more people to work from home.
100;2;از mean (that) می توانید به جای "باعث شدن (که)"  استفاده کنید. مثلاً: |Don't let him see you. It will only mean trouble.|The high cost of housing means that many young people can't afford to buy a house.|
102;1;همانطوریکه قبلاً نیز گفته شد می توانیم ضمیر ربطی و فعل to be را با هم در جملات حذف کرد. |مثلاً در جمله اول which was barely… بوده که which was آن با هم حذف شده است. |
102;2;متضاد این کلمه inconceivable است.
102;3;ترکیب a wealth of یعنی "مقدار یا تعداد زیادی چیز خوب..."
105;1;در استفاده از کلمات influence، effect و impact دقت کنید.| کلمه Influence معمولاً تاثیر روی رفتار یا طرز فکر کسی است.| The article talks about the influence of television on sporting events.| واژه Impact معمولاً تاثیر بزرگی است که به خاطر یک رویداد یا اتفاق خاص بوجود می آید.| We need to assess the impact on climate change.| لغت Effect لغت کلی است که همه موارد را شامل می شود.| همچنین یک فرق دیگر هم برای Influence و Effect وجود دارد. وقتی می گوییم کسی روی چیزی influence داشته است، یعنی روی شکل گیری و پیشرفت آن تاثیرگذار بوده، اما وقتی می گوییم کسی یا چیزی effect دارد یعنی باعث تغییر روی چیزی شده است.| D.W. Griffith had an enormous influence on the motion picture industry.| The war had a disastrous effect on the economy.
107;1;بهتر است همیشه کلمه entertainment را به صورت مفرد بکار ببریم.
107;2;کلمه Publication به معنی "پروسه چاپ" می باشد که در این حالت غیرقابل شمارش است. اما از آن می توانید به معنی "کتاب یا مجله" هم در حالت رسمی استفاده کنید که البته در این حالت قابل شمارش است.
109;1;کلمه food به معنی "غذا" غیرقابل شمارش است. اما اگر منظور نوع غذا باشد می تواند جمع هم شود.
109;2;همانطوریکه قبلاً نیز گفته شد، اگر بعد از کلمه ربطی فعل معلوم داشتیم، می توانیم این ضمیر را حذف کنیم و به جای فعل، شکل ing آنرا استفاده کنیم. مثلاً در جمله اول which followed بوده که پس از حذف به صورت following نوشته شده است.
111;1;مثل dependence، صفت heavy را برای تاکید بیشتر با reliance هم می توانید بکار ببرید.
112;1;به جای different می توانید از diverse در نوشته های خود استفاده کنید.  اما توجه کنید که این کلمه وقتی که چند چیز را بخواهیم مقایسه کنیم استفاده می شود. بنابراین یا به تنهایی می آید:|The region's economy is more diverse now.|و یا قبل از یک اسم: |Indian cinema shows several diverse influences.|مثلاً معمولاً نمی توانیم بگوییم:|something is diverse from something else.
112;2;از ترکیب meet the need می توانید به معنی "برطرف کردن نیاز" استفاده نمایید.
114;1;ترکیب "to be of…" یعنی "داشتن ...". مثلاً وقتی می گوییم: it is of importance یعنی "اهمیت دارد"
115;1;از کلمه pace به معنی "سرعت" در عبارات زیر می توانید استفاده کنید:|pace of change/reform/growth|at a rapid/slow/steady pace
116;1;برخی از صفات مثل blind، poor، rich، old، elderly، young و .... با the به صورت یک اسم جمع در می آیند. مثلاً the young یعنی "جوانان".
117;1;فعل age هم می تواند مفعول بپذیرد (پیر کردن) و هم می تواند بدون مفعول استفاده شود (پیر شدن)
117;2;ترکیب in advance of something  یعنی "قبل از آنکه چیزی اتفاق بیافتد"
120;1;عبارت lead a … life یعنی "یک زندگی .... را گذراندن"
121;1;کلمه recreation یک اسم (تفریح) و recreational یک صفت (تفریحی) می باشد. اما در برخی ترکیبات معمولاً از recreation استفاده می شود: |Recreation facilities/ Recreation ground/ Recreation room
124;1;معمولاً این کلمه در عبارت take the precaution of doing something بکار می رود.
125;1;در این ترکیب Gentle متضاد Vigorous می باشد.
126;1;به جای "شروع کردن یک فعالیت جدید" می توانید از take up به جای start استفاده کنید.
127;1;توجه داشته باشید که کلمه Lifestyle همیشه سرهم نوشته می شود.
127;2;به جای enough همیشه می توانید از adequate یا sufficient استفاده کنید.
133;1;متضاد این عبارتto excess  است. مثلاً:|Drinking is OK as long as you don't do it to excess.|
140;1;برخی از زبان آموزان از social به جای sociable استفاده می کنند. هرچند این دو کلمه مترادف هستند، social به معنی "اجتماعی" و sociable به معنی "فرد اجتماعی" است. 
140;2;متضاد این کلمه unsociable است. 
142;1;توجه داشته باشید که unwind یک فعل لازم بوده و نمی تواند مفعول بگیرد.
144;1;از boost میتوانید به جای "افزایش دادن" و "بهبود بخشیدن" در همه حالات برای نشان دادن موفقیت استفاده کنید. 
144;2;عبارت state of belonging یعنی "حس شادی و راحتی در جایی" |It's important to have a sense of belonging.
145;1;توجه داشته باشید که equipment به معنی "تجهیزات" همیشه همینطور به صورت مفرد به کار می رود. 
145;2;به تفاوت این کلمات توجه داشته باشید:|Waste:|به معنی "پسماند" همیشه به صورت مفرد است و برای زباله هایی بکار می رود که به عنوان اضافات مواد استفاده شده است. |Rubbish:|زباله های غذا یا کاغذ و ...که دیگر قابل استفاده نیستند و دور ریخته می شوند. (همیشه مفرد است)|Garbage و Trash:|معادل آمریکایی همان Rubbish است.
146;1;کلمه production به معنی "پروسه تولید" و product به معنی "محصول" است. 
150;1;به جای عبارت "سالهای بعد" می توانید از ترکیب in the years ahead استفاده کنید. 
151;1;به خاطر داشته باشید که از کلمه travel در حالت اسم (غیرقابل شمارش) فقط وقتی منظورتان نوع مسافرتها است استفاده کنید. مثلاً مسافرت هوایی، مسافرت زمینی، مسافرت راه دور …
152;1;در نوشته های خود، به عنوان مثال در شروع Task نخست Writing می توانید از reveal به جای show استفاده کنید. مثلاً:|The graph reveals…
152;2;توجه کنید که تنها عبارت معادل آلودگی صوتی همین noise pollution است زیرا گاهی دیده شده است که زبان آموزان از ترکیبی مانند sound pollution هم استفاده می کنند. 
153;1;توجه داشته باشید که این کلمه با the به معنی همسایگی و بدون the به معنی محیط شهری می باشد.|She grew up in a quiet neighborhood of Boston.
155;1;توجه داشته باشید که کلمه use در حالت فعل با Z و در حال اسم با S تلفظ می شود. 
156;1;این عبارت معمولا به صورت impose/place restrictions on something  استفاده می شود. 
160;1;این کلمه همانطوریکه در دو مثال بالا می بینید هم اسم است و هم فعل. 
161;1;عبارت go around in circles یعنی "دور خود بی هدف چرخیدن".
163;1;کلمه leftover به عنوان صفت قبل از یک اسم استفاده می شود.
171;2;نکته: وقتی می گوییم چیزی در verge of/edge of/brink of something است یعنی در معرض آن است:|Jess seemed on the verge of tears.|
181;1;کلمه advertising به معنای "صنعت تبلیغات" است و غیرقابل شمارش اما advertisement به معنی آگهی و تبلیغ است و می تواند جمع شود.
182;1;به املای کلمه advertisement توجه کنید بعضی از زبان آموزان آنرا اشتباه می نویسند: adevertisment
182;2;عبارت give an account of something یا give something a … account یعنی توضیحی یا توصیفی از چیزی دادن. درحالت دوم می توانید از یک صفت در جای خالی استفاده کنید که در مثال از صفت exaggerated استفاده شده است.
183;1;عبارت play down the importance/significance of something به معنی "کم اهمیت جلوه دادن چیزی است" و متضاد آن play up می باشد. |The White House spokeswoman tried to play down the significance of the event.|
189;1;عبارت to be liable to به معنی "احتمال داشتن" خصوصاً وقتی پس از آن یک فعل طبیعی و یا رفتاری باشد. |The car is liable to overheat on long trips.|
189;2;وقتی می گوییم کسی یا چیزی Impulsive است یعنی ناگهان و بدون درنظر گرفتن ریسک کاری را انجام می دهد. |Rosa was impulsive and sometimes regretted things she'd done.|
191;1;به جای "بخاطر اینکه" می توانید از ترکیب On the grounds that استفاده کنید. 
197;1;کلمه Sale به معنی "فروش" بوده و اسم است (هم مفرد است و هم جمع می شود). مثلا می گوییم:|The use and sale of marijuana is illegal.|Sales of automobiles are up this year.|وقتی می خواهیم بگوییم چیزی را “در زمان حراج خریدم” باید از حرف اضافه in استفاده کنیم، یعنی In a sale.
197;2;کلمه Sell فعل است و به معنی فروختن استفاده می شود. گذشته و قسمت سوم این فعل sold است.|کلمه Sales هم به معنی "میزان فروش" است.|Britain's retail sales (=all the things sold to the public in shops) jumped 3.2 percent in April.|
199;1;همانطوریکه می بینید این فعل به این معنی نیاز به حرف اضافه ندارد
206;1;اصل این اصطلاح keep up with the Joneses است که در نوشته ها معمولاً به جای the Joneses از کلمات دیگر استفاده می شود. 
208;1;توجه داشته باشید که کلمه goods به معنی "کالاهای فروشی" همیشه به صورت جمع به کار می روند و به معنی مفرد از آنها نمی توان استفاده کرد. در حال مفرد می توانید از product به همین معنی استفاده کنید. |از ترکیب های معروف دیگر این کلمه می توان به مواردزیر اشاره کرد:|Industrial goods (کالاهای صنعتی) – Manufactured goods (کالاهای تولیدی)|Household goods (کالاهای مصرفی در خانه) – Electrical goods (کالاهای برقی)|
211;1;هدف از یادگیری این کلمه و کلمات مشابه این است که عبارات و اصطلاحاتی به روز را بیاموزید. استفاده از این عبارات در Speaking و Writing نشان می دهد تا چه حد شما درگیر مطالب و عبارات روز هستید. 
212;1;عبارت No sooner…than یعنی هنوز کاری انجام نشده کار دیگر انجام میشود. مثلا:|No sooner had he sat down than the phone rang.|هنوز نشسته بود که تلفن زنگ زد. |توجه داشته باشید که جمله اول در این عبارت باید به صورت invert شده (سئوالی) باشد. |
214;1;وقتی می گوییم چیزی lifeblood است یعنی بسیار مهم است. |Communication is the lifeblood of a good marriage.|
214;2;کلمه Purchase در حالت اسم به معنی "عمل خرید" و یا خود "کالای خریداری شده" است. در حالت فعل هم می توانید از این کلمه دقیقاً به جای buy استفاده کنید. 
216;1;حرف اضافه این کلمه with است. مثلاً unsatisfied with یعنی ناراضی از. 
216;2;توجه کنید که کلمه dissatisfied نیز دقیقاً به همین معنی استفاده می شود. 
216;3;کلمه Satisfied یعنی "راضی". Satisfactory یعنی "رضایت بخش" و Satisfaction یعنی "رضایت"
217;1;عبارت cross-cultural یا multicultural یعنی چندفرهنگی
220;1;به تفاوت این کلمات دقت کنید:|عبارت inhabitants یک شهر، کشور یا یک منطقه، یعنی افرادی که در آنجا زندگی می کنند.|عبارت local inhabitants/local residents/local population (و یا به صورت غیررسمی locals) به افرادی که در یک شهر یا روستا زندگی می کنند اطلاق می شود. |همچنین Population کلمه ای است که به جمعیت افرادی که در یک منطقه، شهر یا کشور خاص زندگی می کنند اطلاق می شود. |Just ten years ago the town had only 12,000 inhabitants.|The local residents are against the motorway proposal.|Half the world's population doesn't have enough to eat.|
222;1;به تفاوت این کلمات دقت کنید:|کلمه Relation به معنای ارتباط بین یک شخص با چیز یا کس دیگر|We’ve been studying the relation between gender and income.|کلمه Relation به معنای افراد خانواده (به این معنی با relative مترادف است)|She took me back home to meet all her friends and relations.|کلمه Relationship: رفتار یا احساس بین دو شخص، گروه یا کشور|What kind of relationship did you have with your father?|Successful companies know the importance of establishing good relationships with their customers.|کلمه Relations (همیشه به صورت جمع): ارتباط یا رفتار متقابل رسمی بین دو گروه یا دو کشور|Relations between the two countries have steadily deteriorated in recent years.|The police are making great efforts to improve relations with the public.|
224;1;توجه داشته باشید که فعل arise لازم است و مجهول نمی شود. پس ننویسیم:|These problems have been arised as a result of overpopulation.|بنویسیم:|These problems have arisen as a result of overpopulation.||
227;1;از این عبارت می توانید به جای Old استفاده کنید.
229;1;این کلمه در حالت رسمی مترادف motivation است.
229;2;همانطوریکه در مثال اول می بینید بهترین فعل برای "انگیزه دادن" provide است. 
229;3;از کلمه contribution هم می توانید به جای "مزیت" استفاده کنید. 
232;1;از این کلمه می توانید در حالت رسمی به جای native استفاده کنید
