Vocabulary;Lesson;Pronunciation;EnglishDef;PersianDef;Examples
Bachelor;1;[bach·e·lor || 'bætʃələ];a man who has not married;مردی که ازدواج نکرده است ، مجرد;"a. My brother took an oath to remain a bachelor.

b. In the movie, the married man was mistaken for a bachelor.

c. Before the wedding, all his bachelor friends had a party."
Qualify;1;[qual·i·fy || 'kwɑlɪfaɪ /'kwɒ-];"become fit; show that you are able";صلاحیت داشتن ، واجد شرایط بودن;"a. I am trying to qualify for the job which is now vacant.

b. Since Pauline can't carry a tune, she is sure that she will never qualify for the Girls' Chorus.

c. You have to be over 5'5"" to qualify as a policeman in our town."
Corpse;2;[kɔːps];a dead body, usually of a person;جسد ، معمولاً مربوط به شخص;"a. When given all the data on the corpse, Columbo was able to solve the murder.

b. The corpse was laid to rest in the vacant coffin.

c. An oath of revenge was sworn over the corpse by his relatives."
Conceal;2;[con·ceal || kən'siːl];hide;پنهان کردن;"a. Tris could not conceal his love for Gloria.

b. Count Dracula concealed the corpse in his castle.

c. The money was so cleverly concealed that we were forced to abandon our search for it."
Dismal;2;[dis·mal || 'dɪzməl];dark and depressing;تاریک و دلگیر;"a. When the weather is so dismal, I sometimes stay in bed all lesson.

b. I am unaccustomed to this dismal climate.

c. As the dismal reports of the election came in, the senator's friends tactfully made no mention of them."
Frigid;2;[frig·id || 'frɪdʒɪd];very cold;خیلی سرد;"a. It was a great hardship for the men to live through the frigid winter at Valley Forge.

b. The jealous bachelor was treated in a frigid manner by his girlfriend

c. Inside the butcher's freezer the temperature was frigid."
Inhabit;2;[in·hab·it || ɪn'hæbɪt];live in;اقامت داشتن در;"a. Eskimos inhabit the frigid part of Alaska.

b. Because Sidney qualified, he was allowed to inhabit the vacant apartment.

c. Many crimes are committed each year against those who inhabit the slum area of our city."
Numb;2;[nʌm];"without the power of feeling; deadened";بدون قدرت احساس ، کرخت;"a. My fingers quickly became numb in the frigid room.

b. A numb feeling came over Mr. Massey as he read the telegram.

c. When the nurse stuck a pin in my numb leg, I felt nothing."
Peril;2;[per·il || 'perəl];danger;خطر;"a. The hunter was abandoned by the natives when he described the peril which lay ahead of them.

b. There is great peril in trying to climb the mountain.

c. Our library is filled with stories of perilous adventures."
Recline;2;[re·cline || rɪ'klaɪn];"lie down; stretch out; lean back";خوابیدن ، دراز کشیدن ، لم دادن;"a. Richard likes to recline in front of the television set.

b. After reclining on her right arm for an hour, Maxine found that it had become numb.

c. My dog's greatest pleasure is to recline by the warm fireplace."
Shriek;2;[ʃrɪːk];scream;جیغ زدن ، جیغ;"a. The maid shrieked when she discovered the corpse.

b. With a loud shriek, Ronald fled from the room.

c. Facing the peril of the waterfall, the boatman let out a terrible shriek."
Sinister;2;[sin·is·ter || 'sɪnɪstə(r)];"evil; wicked; dishonest; frightening";پلید ، پست ، متقلب ، وحشتناک;"a. The sinister plot to cheat the widow was uncovered by the police.

b. When the bank guard spied the sinister-looking customer, he drew his gun.

c. I was frightened by the sinister shadow at the bottom of the stairs."
Tempt;2;[tempt];"try to get someone to do something; test; invite";تلاش به وادار کردن کسی به انجام کاری ، امتحان کردن ، دعوت کردن ، وسوسه کردن;"a. A banana split can tempt me to break my diet.

b. The sight of beautiful Louise tempted the bachelor to change his mind about marriage.

c. Your offer of a job tempts me greatly."
Wager;2;[wa·ger || 'weɪdʒə(r)];bet;شرط;"a. I lost a small wager on the Superbowl.

b. After winning the wager, Tex treated everyone to free drinks.

c. It is legal to make a wager in the state of Nevada."
Typical;3;[typ·i·cal || 'tɪpɪkl];"usual; of a kind";معمولی;"a. The sinister character in the movie wore a typical costume, a dark shirt, loud tie, and tight jacket.

b. The horse ran its typical race, a slow start and a slower finish, and my uncle lost his wager.

c. It was typical of the latecomer to conceal the real cause of his lateness."
Minimum;3;['min·i·mum || 'mɪnɪməm];"the least possible amount; the lowest amount";کمترین مقدار ممکن ، پایین ترین مقدار;"a. Studies show that adults need a minimum of six hours sleep.

b. The minimum charge for a telephone, even if no calls are made, is about nine dollars a month.

c. Congress has set a minimum wage for all workers."
Scarce;3;[skers /skeəs];"hard to get; rare";کمیاب ، نادر;"a. Chairs which are older than one hundred years are scarce.

b. Because there is little moisture in the desert, trees are scarce.

c. How scarce are good cooks?"
Annual;3;[an·nu·al || 'ænjʊəl];"once a year; something that appears yearly or lasts for a year";سالی یکبار ، چیزی که هر ساله پدیدار می شود یا به مدت یک سال طول می کشد ، سالانه;"a. The annual convention of musicians takes place in Hollywood.

b. The publishers of the encyclopedia put out a book each year called an annual.

c. Plants that live only one year are called annuals."
Persuade;3;[per·suade || pər'sweɪd /pə's-];"win over to do or believe; make willing";متقاعد کردن ، راضی کردن;"a. Can you persuade him to give up his bachelor days and get married?

b. No one could persuade the captain to leave the sinking ship.

c. Beth's shriek persuaded Jesse that she was in real danger."
Essential;3;"[es·sen·tial || ɪ'senʃl]

l";"necessary; very important";ضروری ، بسیار مهم;"a. The essential items in the cake are flour, sugar, and shortening.

b. It is essential that we follow the road map.

c. Several layers of thin clothing are essential to keeping warm in frigid climates."
Blend;3;[blend];"mix together thoroughly; a mixture";کاملاً با هم ترکیب کردن ، مخلوط;"a. The colors of the rainbow blend into one another.

b. A careful blend of fine products will result in delicious food.

c. When Jose blends the potatoes together, they come out very smooth."
Visible;3;[vis·i·ble || 'vɪzəbl];able to be seen;قابل رویت;"a. The ship was barely visible through the dense fog.

b. Before the stars are visible, the sky has to become quite dark.

c. You need a powerful lens to make some germs visible."
Expensive;3;[ex'pen·sive || -sɪv];"costly; high-priced";گران ، پرهزینه;"a. Because diamonds are scarce they are expensive.

b. Margarine is much less expensive than butter.

c. Shirley's expensive dress created a great deal of excitement at the party."
Talent;3;[tal·ent || 'tælənt];natural ability;توانایی ذاتی;"a. Medori's talent was noted when she was in first grade.

b. Feeling that he had the essential talent, Carlos tried out for the school play.

c. Hard work can often make up for a lack of talent."
Devise;3;[de·vise || dɪ'vaɪz];"think out; plan; invent";ابداع کردن ، برنامه ریزی کردن ، اختراع کردن;"a. The burglars devised a scheme for entering the bank at night.

b. I would like to devise a method for keeping my toes from becoming numb while I am ice skating.

c. If we could devise a plan for using the abandoned building, we could save thousands of dollars."
Wholesale;3;[ˈhōlˌsāl];"in large quantity; less than retail in price";به میزان گسترده ، کمتر از قیمت خرده فروشی ، عمده فروشی;"a. The wholesale price of milk is six cents a quart lower than retail.

b. Many people were angered by the wholesale slaughter of birds.

c. By buying my ties wholesale I save fifteen dollars a year."
Vapor;4;[ˈvāpər];"moisture in the air that can be seen; fog; mist";بخار هوا که می توان آن را دید ، مه ، غبار;"a. Scientists have devised methods for trapping vapor in bottles so they can study its make-up.

b. He has gathered data on the amount of vapor rising from the swamp.

c. A vapor trail is the visible stream of moisture left by the engines of a jet flying at high altitudes."
Eliminate;4;[e·lim·i·nate || ɪ'lɪmɪneɪt];"get rid of; remove; omit";رها شدن از ، برداشتن ، حذف کردن;"a. When the railroad tracks are raised, the danger of crossing will be eliminated.

b. When figuring the cost of a car, don't eliminate such extras as air conditioning.

c. If we were to eliminate all reclining chairs, no one would fall asleep while watching television."
Villain;4;"[vil·lain || 'vɪlən]

[vil·lain || 'vɪlən]";a very wicked person;آدم بسیار بد جنس و پست;"a. A typical moving picture villain gets killed at the end.

b. The villain concealed the corpse in the cellar.

c. When the villain fell down the well, everyone lived happily ever after."
Dense;4;[dens];"closely packed together; thick";متراکم ، غلیظ;"a. The dense leaves on the trees let in a minimum of sunlight.

b. We couldn't row because of the dense weeds in the lake.

c. His keen knife cut through the dense jungle."
Utilize;4;"[u·ti·lize || 'juːtlaɪ /-tɪl-]

[u·ti·lize || 'juːtlaɪ /-tɪl-]";make use of;استفاده کردن از;"a. No one seems willing to utilize this vacant house.

b. The gardener was eager to utilize different flowers and blend them in order to beautify the borders.

c. Does your mother utilize leftovers in her cooking?"
Humid;4;[hu·mid || 'hjuːmɪd];"moist; damp";مرطوب ، نمناک;"a. It was so humid in our classroom that we wished the school would buy an air conditioner.

b. New Yorkers usually complain in the summer of the humid air.

c. Most people believe that ocean air is quite humid."
Theory;4;[the·o·ry || 'θɪːrɪ /'θɪərɪ];explanation based on thought, observation, or reasoning;توضیح بر اساس اندیشه ، مشاهده یا استدلال ، نظریه ، فرضیه;"a. Einstein's theory is really too difficult for the average person to understand.

b. My uncle has a theory about the effect of weather on baseball batters.

c. No one has advanced a theory explaining the beginnings of writing."
Descend;4;[de·scend || dɪ'send];go or come down from a higher place to a lower level;پایین رفتن یا پایین آمدن از مکانی بالاتر به سطحی پایین تر ;"a. If we let the air out of a balloon, it will have to descend.

b. The pilot, thinking his plane was in peril, descended quickly.

c. Knowing her beau was waiting at the bottom of the staircase, Eleanor descended at once."
Circulate;4;[cir·cu·late || 'sɜːkjʊleɪt];"go around; go from place to place or person to person";پخش شدن ، از مکانی به مکانی یا از شخصی به شخصی رفتن;"a. A fan may circulate the air in summer, but it doesn't cool it.

b. My father circulated among the guests at the party and made them feel comfortable.

c. Hot water circulates through the pipes in the building, keeping the room warm."
Enormous;4;[e'nor·mous || -məs];"extremely large; huge";بی نهایت بزرگ ، عظیم;"a. The enormous crab moved across the ocean floor in search of food.

b. Public hangings once drew enormous crowds.

c. The gallant knight drew his sword and killed the enormous dragon."
Predict;4;[pre·dict || prɪ'dɪkt];tell beforehand;از پیش گفتن ، پیش گویی کردن;"a. Weathermen can predict the weather correctly most of the time.

b. Who can predict the winner of the Superbowl this year?

c. Laura thought she could predict what I would do, but she was wrong."
Vanish;4;[van·ish || 'vænɪʃ];"disappear; disappear suddenly";محو شدن ، ناگهان ناپدید شدن;"a. Even in California the sun will sometimes vanish behind a cloud.

b. Not even a powerful witch can make a jealous lover vanish.

c. Give him a week without a job and all his money will vanish."
Tradition;5;[tra·di·tion || trə'dɪʃn];beliefs, opinions, and customs handed down from one generation to another;باور ها ، اعتقادات و رسومی که از نسلی به نسل دیگر منتقل می شود;"a. The father tried to persuade his son that the tradition of marriage was important.

b. All religions have different beliefs and traditions.

c. As time goes on, we will eliminate traditions which are meaningless."
Rural;5;[ru·ral || 'rʊrəl /'rʊərəl];in the country;روستایی;"a. Tomatoes are less expensive at the rural farm stand.

b. Rural areas are not densely populated.

c. The rural life is much more peaceful than the city one."
Burden;5;[bur·den || bɜːdn];"what is carried; a load";آنچه حمل می شود ، بار;"a. The burden of the country's safety is in the hands of the President.

b. Irma found the enormous box too much of a burden.

c. Ricky carried the burden throughout his college career."
Campus;5;[cam·pus || 'kæmpəs];grounds of a college, university, or school;محوطه ی یک دانشکده ، دانشکده یا مدرسه;"a. The campus was designed to utilize all of the college's buildings.

b. Jeff moved off campus when he decided it was cheaper to live at home.

c. I chose to go to Penn State because it has a beautiful campus."
Majority;5;[ma·jor·i·ty || mə'dʒɒrətɪ /-'dʒɒr-];"the larger number; greater part; more than half";تعداد بیشتر ، قسمت عمده ، بیش از نیم ، اکثریت;"a. A majority of votes was needed for the bill to pass.

b. The majority of people prefer to pay wholesale prices for meat.

c. In some countries, the government does not speak for the majority of the people."
Assemble;5;[as·sem·ble || ə'sembl];"gather together; bring together";گرد آمدن ، جمع آوری کردن;"a. The rioters assembled outside the White House.

b. I am going to assemble a model of a spacecraft.

c. All the people who had assembled for the picnic vanished when the rain began to fall."
Explore;5;[ex·plore || ɪk'splɔː];"go over carefully; look into closely; examine";سیاحت کردن ، اکتشاف کردن ، بررسی کردن;"a. Lawyer Spence explored the essential reasons for the crime.

b. The Weather Bureau explored the effects of the rainy weather.

c. Sara wanted to know if all of the methods for solving the problem had been explored."
Topic;5;[top·ic || 'tɑpɪk /'tɒp-];subject that people think, write, or talk about;موضوعی که مردم درباره ی آن فکر می کنند ، می نویسند وی اصحبت می کنند ، مبحث ;"a. Predicting the weather is our favorite topic of conversation.

b. Valerie only discussed topics that she knew well.

c. The speaker's main topic was how to eliminate hunger in this world."
Debate;5;[de·bate || dɪ'beɪt];a discussion in which reasons for and against something are brought out;بحثی که در آن دلایل موافق و مخالف چیزی مطرح می شود;"a. The debate between the two candidates was heated.

b. Debate in the U.S. Senate lasted for five days.

c. Instead of shrieking at each other, the students decided to have a debate on the topic."
Evade;5;[e·vade || ɪ'veɪd];get away from by trickery or cleverness;با کلک یا زرنگی از چیزی دور شدن;"a. Juan tried to evade the topic by changing the subject.

b. In order to evade the police dragnet, Ernie grew a beard.

c. The prisoner of war evaded questioning by pretending to be sick."
Probe;5;[prəʊb];"search into; examine thoroughly; investigate";کاوش کردن ، کاملاً برررسی کردن ، تحقیق کردن;"a. The lawyer probed the man's mind to see if he was innocent.

b. After probing the scientist's theory, we proved it was correct.

c. King Henry's actions were carefully probed by the noblemen."
Reform;5;[re·form || rɪ'fɔrm /-'fɔːm];"make better; improve by removing faults";بهتر کردن ، با رفع اشکالات بهبود بخشیدن;"a. After the prison riot, the council decided to reform the correctional system.

b. Brad reformed when he saw that breaking the law was hurting people other than himself.

c. Only laws that force companies to reform will clear the dangerous vapors from our air."
Approach;6;[ap·proach || ə'prəʊtʃ];come near or nearer to;نزدیک شدن به;"a. The lawyers in the Simpson trial were often asked to approach the bench.

b. Her beau kissed Sylvia when he approached her.

c. Ben approached the burden of getting a job with a new spirit."
Detect;6;[de·tect || dɪ'tekt];"find out; discover";پی بردن ، کشف کردن;"a. Sam Spade detected that the important papers had vanished.

b. From her voice it was easy to detect that Ellen was frightened.

c. We detected from the messy room that a large group of people had assembled there."
Possible;26;[pos·si·ble || 'pɑsəbl /'pɒ-];"able to be, be done, or happen; able to be true; able to be done or chosen properly";ممکن ، مقدور ، میسر;"a. Call me tomorrow evening if possible.

b. It is now possible for man to walk on the moon.

c. Considering Melissa's weakness in writing, it is not possible for her to help you with your composition."
Compel;26;[com·pel || kəm'pel];"force; get by force";مجبور کردن ، به زور وادار کردن;"a. It is not possible to compel a person to love his fellow man.

b. Heavy floods compelled us to stop.

c. Mr. Gorlin is a teacher who does not have to compel me to behave."
Defect;6;[de·fect || 'diːfekt];"fault; that which is wrong";عیب ، نقص;"a. My Chevrolet was sent back to the factory because of a steering defect.

b. His theory of the formation of our world was filled with defects.

c. The villain was caught because his plan had many defects."
Employee;6;[emˈploi-ē];a person who works for pay;شخصی که در ازای مزد کار می کند ، کارمند;"a. The employees went on strike for higher wages.

b. My boss had to fire many employees when meat became scarce.

c. Joey wanted to go into business for himself and stop being an employee."
Neglect;6;[neg·lect || nɪ'glekt];give too little care or attention to;خیلی کم اهمیت دادن یا توجه کردن به;"a. The senator neglected to make his annual report to Congress.

b. Bob's car got dirty when he neglected to keep it polished.

c. It is essential that you do not neglect your homework."
Deceive;6;[de·ceive || dɪ'siːv];"make someone believe as true something that is false; mislead";شخصی را وادار به باور چیزی دروغ کردن ، گمراه کردن;"a. Atlas was deceived about the burden he had to carry.

b. Virginia cried when she learned that her best friend had deceived her.

c. The villain deceived Chief White Cloud by pretending to be his friend."
Undoubtedly;6;[un'doubt·ed·ly || ʌn'daʊtɪdlɪ];"certainly; beyond doubt";قطعاً ، بدون شک;"a. Ray's team undoubtedly had the best debators in our county.

b. The pilgrims undoubtedly assembled to travel to Rome together.

c. If she didn't want to get into an argument, Valerie would have followed the majority undoubtedly."
Popular;6;[pop·u·lar || 'pɑpjələ(r) / 'pɒpjʊl-];liked by most people;محبوب اکثر مردم ، پرطرفدار;"a. The Beatles wrote many popular songs.

b. At one time mini-skirts were very popular.

c. Popular people often find it hard to evade their many friends."
Thorough;6;[thor·ough || 'θɜrəʊ /'θʌrə];"being all that is needed; complete";کامل ، جامع;"a. The police made a thorough search of the house after the crime had been reported.

b. My science teacher praised Sandy for doing a thorough job of cleaning up the lab.

c. Mom decided to spend the lesson in giving the basement a thorough cleaning."
Client;6;[cli·ent || 'klaɪənt];"person for whom a lawyer acts; customer";شخصی که وکیل برای او کار می کند ، موکل ، مشتری;"a. The lawyer told her client that she could predict the outcome of his trial.

b. My uncle tried to get General Motors to be a client of his company.

c. If this restaurant doesn't improve its service, all its clients will vanish."
Comprehensive;6;[,com·pre'hen·sive || ‚kɑmprɪ'hensɪv /'kɒm-];"including much; covering completely";فراگیر ، جامع;"a. After a comprehensive exam, my doctor said I was in good condition.

b. The engineer gave our house a thorough, comprehensive check-up before my father bought it.

c. Mrs. Silver wanted us to do a comprehensive study of Edgar Allan Poe."
Defraud;6;[de·fraud || dɪ'frɔːd];take money, rights, etc., away by cheating;گرفتن پول و حقوق دیگران از راه کلاهبرداردی ، کلاهبرداری کردن از;"a. My aunt saved thousands of dollars by defrauding the government.

b. If we could eliminate losses from people who defraud the government, tax rates could be lowered.

c. By defrauding his friend, Dexter ruined a family tradition of honesty."
Postpone;7;[post·pone || ‚pəʊst'pəʊn /‚pəʊ'spəʊn ,ə-];"put off to a later time; delay";به زمان دیگری موکول کردن ، به تاخیر انداختن ، به تعویق انداختن;"a. The young couple wanted to postpone their wedding until they were sure they could handle the burdens of marriage.

b. I neglected to postpone the party because I thought everyone would be able to come.

c. The supermarket's owner planned to postpone the grand opening until Saturday."
Consent;7;[con·sent || kən'sent];"agree; give permission or approval";موافقت کردن ، اجازه یا رضایت دادن;"a. My teacher consented to let our class leave early.

b. David would not consent to our plan.

c. The majority of our club members consented to raise the dues."
Massive;7;[mas·sive || 'mæsɪv];"big and heavy; large and solid; bulky";بزگ ، سنگین ، درشت و تو پر، حجیم;"a. The boss asked some employees to lift the massive box.

b. From lifting weights, Willie had developed massive arm muscles.

c. The main building on the campus was so massive that the new students had trouble finding their way around at first."
Capsule;7;[cap·sule || 'kæpsjuːl];a small case or covering;جعبه یا روکش کوچک;"a. The small capsule contained notes the spy had written after the meeting.

b. A new, untested medicine was detected in the capsule by the police scientists.

c. He explored the space capsule for special equipment."
Preserve;7;[pre·serve || prɪ'zɜrv /-'zɜːv];"keep from harm or change; keep safe; protect";از تغییر یا آسیب دور نگه داشتن ، سالم نگه داشتن ، محافظت کردن;"a. The lawyers wanted to preserve the newest reforms in the law.

b. Farmers feel that their rural homes should be preserved.

c. Records of Hank Aaron's home runs will undoubtedly be preserved in the Baseball Hall of Fame."
Denounce;7;[de·nounce || dɪ'naʊns];"condemn in public; express strong disapproval of";آشکارا محکوم کردن ، ابراز نارضایتی شدید کردن از;"a. The father denounced his son for lying to the district attorney.

b. Some people denounce the government for probing into their private lives.

c. Ralph Nader, the consumer advocate, denounced the defective products being sold."
Unique;7;[u·nique || juː'nɪːk];"having no like or equal; being the only one of its kind";برابر یا شبیه ندارد ، در نوع خود تک است ، منحصر به فرد ، بی همتا;"a. Going to Africa was a unique experience for us.

b. The inventor developed a unique method of making ice cream.

c. Albie has a unique collection of Israeli stamps."
Torrent;7;[tor·rent || 'tɑrənt ,'tɔ- /'tɒrənt];"any violent, rushing stream; flood";هر جریان خروشان و خشن;"a. A massive rain was coming down in torrents.

b. In the debate, a torrent of questions was asked.

c. After trying to defraud the public, Lefty was faced with a torrent of charges."
Resent;7;[re·sent || rɪ'zent];feel injured and angered at (something);از چیزی احساس آزردگی خاطر یا عصبانیت کردن;"a. Bertha resented the way her boyfriend treated her.

b. The earthquake victim resented the poor emergency care.

c. Columbus resented the fact that his crew wanted to turn back."
Molest;7;[mo·lest || mə'lest];"interfere with and trouble; disturb";مزاحم شدن و اذیت کردن ، آزار دادن;"a. My neighbor was molested when walking home from the subway.

b. The gang did a thorough job of molesting the people in the park.

c. Lifeguards warned the man not to molest any of the swimmers."
Gloomy;7;['gloom·y || 'gluːmɪ];"dark; dim; in low spirits";تاریک ، کم نور ، با روحیه ی پایین;"a. My cousin was gloomy because his best friend had moved away.

b. The reason Doris wasn't popular was that she always had a gloomy appearance.

c. Jones Beach is not so beautiful on a gloomy lesson."
Unforeseen;7;[ˌʌnfɔːˈsiːn];"not known beforehand; unexpected";از قبل نامعلوم ، غیر منتظره ، پیش بینی نشده;"a. We had some unforeseen problems with the new engine.

b. The probe into the Congressman's finances turned up some unforeseen difficulties.

c. The divers faced unforeseen trouble in their search for the wreck."
Exaggerate;8;[ex·ag·ger·ate || ɪg'zædʒəreɪt];"make something greater than it is; overstate";مبالغه کردن ، غلو کردن;"a. He wasn't trying to deceive you when he said that his was the best car in the world; he was just exaggerating.

b. The bookkeeper exaggerated her importance to the company.

c. When he said that Shaquille O'Neal was eight feet tall, he was undoubtedly exaggerating."
Amateur;8;[am·a·teur || 'æmətə];person who does something for pleasure, not for money or as a profession;کسی که کاری را برای لذت انجام می دهد نه برای پول یا به عنوان حرفه ، غیر حرفه ای ، آماتور;"a. The amateur cross-country runner wanted to be in the Olympics.

b. After his song, Don was told that he wasn't good enough to be anything but an amateur.

c. Professional golfers resent amateurs who think they are as good as the people who play for money."
Mediocre;8;[me·di·o·cre || ‚mɪːdɪ'əʊkə(r)];"neither good nor bad; average; ordinary";نه خوب نه بد ، متوسط ، معمولی;"a. After reading my composition, Mrs. Evans remarked that it was mediocre and that I could do better.

b. Howard was a mediocre scientist who never made any unique discoveries.

c. The movie wasn't a great one; it was only mediocre."
Variety;8;[va·ri·e·ty || və'raɪətɪ];"lack of sameness; a number of different things";نابرابری ، چند چیز مختلف ، تنوع;"a. Eldorado Restaurant serves a wide variety of foods.

b. The show featured a variety of entertainment.

c. He faced unforeseen problems for a variety of reasons."
Valid;8;[val·id || 'vælɪd];"supported by facts or authority; sound; true";معتبر ، درست;"a. The witness neglected to give valid answers to the judge's questions.

b. Rita had valid reasons for denouncing her father's way of life.

c. When Dave presented valid working papers, the foreman consented to hiring him immediately."
Survive;8;[sur·vive || sər'vaɪv /sə'-];"live longer than; remain alive after";بقاء یافتن ، زنده ماندن ، بازماندن ، جان به در بردن;"a. It was uncertain whether we would survive the torrent of rain.

b. Some people believe that only the strongest should survive.

c. The space capsule was built to survive a long journey in space."
Weird;8;[wɪrd /wɪəd];"mystrious; unearthly";اسرار آمیز ، غیر دنیوی;"a. She looked weird with that horrible make-up on her face.

b. Alien felt that weird things were starting to happen when he entered the haunted house.

c. Becky had a weird feeling after swallowing the pills."
Prominent;8;['prom·i·nent || 'prɑmɪnənt /'prɒm-];"well-known; important";مشهور ، مهم;"a. My client is a prominent businessperson.

b. Napoleon is a prominent figure in the history of France.

c. Her violet eyes were the prominent feature of the model's face."
Security;8;[se·cu·ri·ty || sɪ'kjʊrətɪ /-kjʊər-];"freedom from danger, care, or fear; feeling or condition of being safe";عاری از خطر ، مراقبت یا ترس ، احساس یا حالت امنیت;"a. Our janitor likes the security of having all doors locked at night.

b. When the President travels, strict security measures are taken.

c. Pablo wanted to preserve the security of his life style."
Bulky;8;[bulk·y || 'bʌlkɪ];"taking up much space; large";فضای زیادی می گیرد ، بزرگ ، حجیم;"a. Charley and Morty removed the bulky package from the car.

b. The massive desk was quite bulky and impossible to carry.

c. His client wanted an item that wasn't so bulky, Olsen told us."
Reluctant;8;[re'luc·tant || rɪ'lʌktənt];unwilling;بی میل;"a. It was easy to see that Herman was reluctant to go out and find a job.

b. The patient was reluctant to tell the nurse the whole gloomy truth.

c. I was reluctant to give up the security of family life."
Obvious;8;[ob·vi·ous || 'ɑbvɪəs /'ɒb-];"easily seen or understood; clear to the eye or mind; not to be doubted; plain";به راحتی درک یا دیده می شود ، در آن تردیدی نیست ، آشکار ، واضح ، بدیهی ;"a. It was obvious that the lumberjack was tired after his lesson's work.

b. The fact that Darcy was a popular boy was obvious to all.

c. The detective missed the clue because it was too obvious."
Vicinity;9;[vi·cin·i·ty || vɪ'sɪnətɪ];"region near a place; neighborhood";منطقه ای نزدیک یک مکان ، همسایگی;"a. Living in the vicinity of New York, Jeremy was near many museums.

b. The torrent of rain fell only in our vicinity.

c. We approached the Baltimore vicinity by car."
Century;9;[cen·tu·ry || 'sentʃʊrɪ];100 years;یکصد سال ، قرن;"a. George Washington lived in the eighteenth century.

b. The United States is more than two centuries old.

c. Many prominent men have been born in this century."
Rage;9;[reɪdʒ];"violent anger; something that arouses intense but brief enthusiasm";خشم شدید ، چیزی که علاقه ی شدید اما مختصر بر می انگیزد;"a. Joan's bad manners sent her mother into a rage.

b. In a fit of rage, Francine broke the valuable glass.

c. The mayor felt a sense of rage about the exaggerations in the press."
Document;9;[doc·u·ment || 'dɒkjʊmənt];something handwritten or printed that gives information or proof of some fact;چیز دستنویس یا تایپ شده که درباره ی حقیقتی شواهد یا اطلاعات می دهد;"a. Newly discovered documents showed that the prisoner was obviously innocent.

b. The documents of ancient Rome have survived many centuries.

c. We were reluctant to destroy important documents."
Conclude;9;[con·clude || kən'kluːd];"end; finish; decide";تمام کردن ، به پایان رساندن  تصمیم گرفتن;"a. Most people are happy when they conclude their work for the lesson.

b. The gloomy lesson concluded with a thunderstorm.

c. Work on the building could not be concluded until the contract was signed"
Undeniable;9;[ˌəndiˈnīəbəl];"not to be denied; cannot be questioned";نمی توان انکار کرد ، نمی توان زیر سوال برد ، غیر قابل انکار;"a. The jury concluded that the teenagers were undeniably guilty.

b. It is undeniable that most professionals can beat any amateur.

c. That Leon resented Rita's good marks in school was undeniable."
